fid,Volcano_Name,Last_Eruption_Year,Country,Elevation
"510",Akita-Komagatake,"1971",Japan,"1637"
"511",Iwatesan,"1919",Japan,"2038"
"512",Hachimantai,"-5350",Japan,"1613"
"513",Megata,"-2050",Japan,"160"
"514",Akita-Yakeyama,"1997",Japan,"1366"
"515",Towada,"915",Japan,"1011"
"516",Iwakisan,"1863",Japan,"1625"
"517",Hakkodasan,"1550",Japan,"1585"
"518",Osorezan,"1787",Japan,"878"
"519",Toshima,"-4550",Japan,"508"
"520",Izu-Oshima,"1990",Japan,"746"
"521",Niijima,"886",Japan,"432"
"522",Kozushima,"838",Japan,"572"
"523",Mikurajima,"-4100",Japan,"851"
"524",Kurose Hole,,Japan,"-114"
"525",Miyakejima,"2010",Japan,"775"
"526",Hachijojima,"1606",Japan,"854"
"527",Kita-Bayonnaise,,Japan,"-360"
"528",Aogashima,"1785",Japan,"423"
"529",Myojinsho,"1970",Japan,"11"
"530",Sumisujima,"1916",Japan,"136"
"531",Sofugan,,Japan,"99"
"532",Suiyo Seamount,,Japan,"-991"
"533",Mokuyo Seamount,,Japan,"-933"
"534",Doyo Seamount,,Japan,"-590"
"535",Nishinoshima,"2023",Japan,"100"
"536",Kaikata Seamount,,Japan,"-165"
"537",Izu-Torishima,"2002",Japan,"394"
"538",Kaitoku Seamount,"2023",Japan,"-95"
"539",Kita-Ioto,"2022",Japan,"792"
"540",Kita-Fukutokutai,"1954",Japan,"-73"
"541",Ioto,"2024",Japan,"169"
"542",Minami-Hiyoshi,"1975",Japan,"-107"
"543",Nikko,,Japan,"-392"
"544",Fukujin,"1974",United States,"-217"
"545",Kasuga 1,"1959",United States,"-598"
"546",Kasuga 2,,United States,"-274"
"547",NW Eifuku,,United States,"-1535"
"548",Daikoku,,United States,"-323"
"549",Fukutoku-Oka-no-Ba,"2021",Japan,"-29"
"550",Ahyi,"2024",United States,"-75"
"551",Supply Reef,,United States,"-8"
"552",Maug Islands,,United States,"227"
"553",Farallon de Pajaros,"1953",United States,"337"
"554",Asuncion,"1906",United States,"857"
"555",Agrigan,"1917",United States,"965"
"556",Pagan,"2021",United States,"570"
"557",Alamagan,"870",United States,"744"
"558",Zealandia Bank,,United States,"0"
"559",Sarigan,,United States,"538"
"560",Guguan,"1883",United States,"287"
"561",East Diamante,,United States,"-127"
"562",Ruby,"2023",United States,"174"
"563",Anatahan,"2008",United States,"790"
"564",NW Rota-1,"2010",United States,"-517"
