fid,Volcano_Name,Country,Elevation,Last_Eruption_Year
594,Etorofu-Yakeyama [Grozny Group],Japan - administered by Russia,1158,2013
595,Sashiusudake [Baransky],Japan - administered by Russia,1125,1951
596,Chirippusan [Chirip],Japan - administered by Russia,1587,1860
597,Moyorodake [Medvezhia],Japan - administered by Russia,1124,1999
598,Rakkibetsudake [Demon],Japan - administered by Russia,1205,NA
599,Ivao Group,Russia,1426,NA
600,Rudakov,Russia,532,NA
601,Tri Sestry,Russia,998,NA
602,Kolokol Group,Russia,1328,1973
603,Chirpoi,Russia,742,2016
604,Unnamed,Russia,-502,1972
605,Milna,Russia,1504,1914
606,Zavaritzki Caldera,Russia,612,1957
607,Uratman,Russia,678,NA
608,Prevo Peak,Russia,1360,1825
609,Ketoi,Russia,1172,1960
610,Srednii,Russia,36,NA
611,Ushishur,Russia,357,1884
612,Rasshua,Russia,956,1957
613,Sarychev Peak,Russia,1496,2021
614,Raikoke,Russia,551,2019
615,Chirinkotan,Russia,724,2022
616,Ekarma,Russia,1170,2010
617,Sinarka,Russia,911,1878
618,Kharimkotan,Russia,1145,1933
619,Tao-Rusyr Caldera,Russia,1272,1952
620,Nemo Peak,Russia,1018,1938
621,Shirinki,Russia,761,NA
622,Fuss Peak,Russia,1742,1854
623,Karpinsky Group,Russia,1326,1952
624,Chikurachki,Russia,1781,2023
625,Vernadskii Ridge,Russia,1183,NA
626,Ebeko,Russia,1103,2024
627,Alaid,Russia,2285,2022
628,Kambalny,Russia,2116,2017
629,Yavinsky,Russia,646,-4050
630,Diky Greben,Russia,1040,350
631,Kurile Lake,Russia,81,-6440
632,Koshelev,Russia,1822,1690
633,Iliinsky,Russia,1555,1901
634,Zheltovsky,Russia,1926,1923
635,Olkoviy Volcanic Group,Russia,681,NA
636,Khodutka,Russia,2039,-300
637,Asacha,Russia,1910,NA
638,Visokiy,Russia,1227,NA
639,Ksudach,Russia,1079,1907
640,Mutnovsky,Russia,2288,2000
641,Gorely,Russia,1799,2010
642,Tolmachev Dol,Russia,1021,300
643,Vilyuchinsky,Russia,2173,-8050
644,Barkhatnaya Sopka,Russia,874,-3550
645,Opala,Russia,2439,1776
646,Koryaksky,Russia,3430,2009
647,Avachinsky,Russia,2717,2001
648,Dzenzursky,Russia,2285,NA
649,Veer,Russia,520,390
650,Kostakan,Russia,1150,1350
651,Bakening,Russia,2278,-550
652,Zavaritsky,Russia,1567,-800
653,Akademia Nauk,Russia,1180,1996
654,Zhupanovsky,Russia,2899,2016
655,Karymsky,Russia,1513,2022
656,Maly Semyachik,Russia,1527,1952
657,Bolshoi Semiachik,Russia,1720,-4450
658,Taunshits,Russia,2301,-550
659,Uzon,Russia,1617,200
660,Kikhpinych,Russia,1515,1550
661,Krasheninnikov,Russia,1816,1550
662,Kronotsky,Russia,3482,1923
663,Gamchen,Russia,2539,-550
664,Vysoky,Russia,2129,-550
